"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"67000000","819","31 Aug 2016 00:00:00","Российская Федерация","Южный федеральный округ","Севастополь","3","517"
"67000000","819","31 Aug 2017 00:00:00","Российская Федерация","Южный федеральный округ","Севастополь","3","509"
"67000000","819","31 Aug 2018 00:00:00","Российская Федерация","Южный федеральный округ","Севастополь","3","491"
"67000000","819","31 Aug 2019 00:00:00","Российская Федерация","Южный федеральный округ","Севастополь","3","465"
"82000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Дагестан","3","1334"
"82000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Дагестан","3","1284"
"82000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Дагестан","3","1307"
"82000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Дагестан","3","1190"
"82000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Дагестан","3","1141"
"26000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Ингушетия","3","116"
"26000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Ингушетия","3","120"
"26000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Ингушетия","3","129"
"26000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Ингушетия","3","105"
"26000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Ингушетия","3","105"
"83000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","3","592"
"83000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","3","564"
"83000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","3","623"
"83000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","3","507"
"83000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Кабардино-Балкарская Республика","3","497"
"91000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","3","342"
"91000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","3","340"
"91000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","3","347"
"91000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","3","323"
"91000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Карачаево-Черкесская Республика","3","285"
"90000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Северная Осетия — Алания","3","588"
"90000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Северная Осетия — Алания","3","607"
"90000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Северная Осетия — Алания","3","619"
"90000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Северная Осетия — Алания","3","522"
"90000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Республика Северная Осетия — Алания","3","577"
"96000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Чеченская Республика","3","577"
"96000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Чеченская Республика","3","556"
"96000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Чеченская Республика","3","564"
"96000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Чеченская Республика","3","579"
"96000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Чеченская Республика","3","454"
"7000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Ставропольский край","3","2605"
"7000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Ставропольский край","3","2727"
"7000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Ставропольский край","3","2675"
"7000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Ставропольский край","3","2547"
"7000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Кавказский федеральный округ","Ставропольский край","3","2484"
"80000000","819","31 Aug 2015 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Башкортостан","3","4027"
"80000000","819","31 Aug 2016 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Башкортостан","3","4963"
"80000000","819","31 Aug 2017 00:00:00","Российская Федерация","Приволжский федеральный округ","Республика Башкортостан","3","4286"
